I1019 21:50:24.517382       1 request.go:589] Waited for 1.046152537s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/events.k8s.io/v1beta1?timeout=32s
I1019 21:50:25.566917       1 request.go:589] Waited for 2.095663395s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/network.azure.com/v1beta20201101?timeout=32s
I1019 21:50:26.567293       1 request.go:589] Waited for 3.095973733s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/cache.azure.com/v1alpha1api20210301storage?timeout=32s
I1019 21:50:27.617286       1 request.go:589] Waited for 4.145888995s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/servicebus.azure.com/v1beta20210101preview?timeout=32s
I1019 21:50:28.667121       1 request.go:589] Waited for 5.195654155s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/dbformysql.azure.com/v1alpha1api20210501storage?timeout=32s
I1019 21:50:30.216609       1 request.go:589] Waited for 1.038455744s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/cache.azure.com/v1alpha1api20210301?timeout=32s
I1019 21:50:31.216801       1 request.go:589] Waited for 2.038596315s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/coordination.k8s.io/v1?timeout=32s
I1019 21:50:32.216915       1 request.go:589] Waited for 3.038648993s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/snapshot.storage.k8s.io/v1beta1?timeout=32s
I1019 21:50:33.217448       1 request.go:589] Waited for 4.039064073s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/dbforpostgresql.azure.com/v1beta20210601?timeout=32s
I1019 21:50:34.267485       1 request.go:589] Waited for 5.089091069s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/containerregistry.azure.com/v1beta20210901storage?timeout=32s
I1019 21:50:35.316854       1 request.go:589] Waited for 6.138397261s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/keyvault.azure.com/v1beta20210401preview?timeout=32s
I1019 23:14:43.336401       1 recorder.go:103] events "msg"="Warning"  "message"="The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\n--------------------------------------------------------------------------------\nRESPONSE 404: 404 Not Found\nERROR CODE: PlatformImageNotFound\n--------------------------------------------------------------------------------\n{\n  \"error\": {\n    \"code\": \"PlatformImageNotFound\",\n    \"message\": \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\",\n    \"target\": \"imageReference\"\n  }\n}\n--------------------------------------------------------------------------------\n" "object"={"kind":"VirtualMachineScaleSet","namespace":"vmss","name":"iacvmss","uid":"cfdf478a-8612-427f-a85f-3c1ce090a8f3","apiVersion":"compute.azure.com/v1beta20220301storage","resourceVersion":"29844"} "reason"="CreateOrUpdateActionError"
E1019 23:14:43.433138       1 generic_controller.go:231] controllers/VirtualMachineScaleSetController "msg"="error during reconcile" "error"="The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\n--------------------------------------------------------------------------------\nRESPONSE 404: 404 Not Found\nERROR CODE: PlatformImageNotFound\n--------------------------------------------------------------------------------\n{\n  \"error\": {\n    \"code\": \"PlatformImageNotFound\",\n    \"message\": \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\",\n    \"target\": \"imageReference\"\n  }\n}\n--------------------------------------------------------------------------------\n" "name"="iacvmss" "namespace"="vmss" 
E1019 23:14:43.433199       1 controller.go:317] controllers/controller/virtualmachinescaleset "msg"="Reconciler error" "error"="The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\n--------------------------------------------------------------------------------\nRESPONSE 404: 404 Not Found\nERROR CODE: PlatformImageNotFound\n--------------------------------------------------------------------------------\n{\n  \"error\": {\n    \"code\": \"PlatformImageNotFound\",\n    \"message\": \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\",\n    \"target\": \"imageReference\"\n  }\n}\n--------------------------------------------------------------------------------\n" "name"="iacvmss" "namespace"="vmss" "reconciler group"="compute.azure.com" "reconciler kind"="VirtualMachineScaleSet" 
I1019 23:14:48.893850       1 common.go:55] controllers/ResourceGroupController "msg"="Reconcile invoked" "name"="aso-vmss-rg" "namespace"="vmss" "annotations"={"serviceoperator.azure.com/operator-namespace":"azureserviceoperator-system","serviceoperator.azure.com/resource-id":"/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg"} "conditions"="[Condition [Ready], Status = \"True\", ObservedGeneration = 1, Severity = \"\", Reason = \"Succeeded\", Message = \"\", LastTransitionTime = \"2022-10-19 23:00:59 +0000 UTC\"]" "creationTimestamp"="2022-10-19T22:29:53Z" "finalizers"=["serviceoperator.azure.com/finalizer"] "generation"=1 "kind"={"kind":"ResourceGroup","apiVersion":"resources.azure.com/v1beta20200601"} "owner"=null "ownerReferences"=null "resourceVersion"="27622" "uid"="50697468-3025-448a-8064-c8e7950eff07"
I1019 23:14:48.893894       1 azure_generic_arm_reconciler_instance.go:67] controllers/ResourceGroupController "msg"="Determined CreateOrUpdate action" "azureName"="aso-vmss-rg" "name"="aso-vmss-rg" "namespace"="vmss" "action"="BeginCreateOrUpdate"
I1019 23:14:48.894018       1 azure_generic_arm_reconciler_instance.go:258] controllers/ResourceGroupController "msg"="About to send resource to Azure" "azureName"="aso-vmss-rg" "name"="aso-vmss-rg" "namespace"="vmss" 
I1019 23:14:49.265117       1 azure_generic_arm_reconciler_instance.go:267] controllers/ResourceGroupController "msg"="Successfully sent resource to Azure" "azureName"="aso-vmss-rg" "name"="aso-vmss-rg" "namespace"="vmss" "id"="/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg"
I1019 23:14:49.265211       1 azure_generic_arm_reconciler_instance.go:309] controllers/ResourceGroupController "msg"="Resource successfully created" "azureName"="aso-vmss-rg" "name"="aso-vmss-rg" "namespace"="vmss" "resourceID"="/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg"
I1019 23:14:49.265325       1 recorder.go:103] events "msg"="Normal"  "message"="Successfully sent resource to Azure with ID \"/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg\"" "object"={"kind":"ResourceGroup","namespace":"vmss","name":"aso-vmss-rg","uid":"50697468-3025-448a-8064-c8e7950eff07","apiVersion":"resources.azure.com/v1beta20200601","resourceVersion":"27622"} "reason"="BeginCreateOrUpdate"
I1019 23:14:49.300804       1 http.go:97] controller-runtime/webhook/webhooks "msg"="received request" "webhook"="/mutate-resources-azure-com-v1beta20200601-resourcegroup" "UID"="b79d5916-8dcd-4538-8e35-1f82f25d88d0" "kind"={"group":"resources.azure.com","version":"v1beta20200601","kind":"ResourceGroup"} "resource"={"group":"resources.azure.com","version":"v1beta20200601","resource":"resourcegroups"}
I1019 23:14:49.301108       1 http.go:136] controller-runtime/webhook/webhooks "msg"="wrote response" "code"=200 "reason"="" "webhook"="/mutate-resources-azure-com-v1beta20200601-resourcegroup" "UID"="b79d5916-8dcd-4538-8e35-1f82f25d88d0" "allowed"=true
2022/10/19 23:14:49 http: TLS handshake error from 10.244.0.5:51948: EOF
2022/10/19 23:15:00 http: TLS handshake error from 10.244.0.5:46408: EOF
2022/10/19 23:15:01 http: TLS handshake error from 10.244.0.6:34404: EOF
I1019 23:15:43.434150       1 common.go:55] controllers/VirtualMachineScaleSetController "msg"="Reconcile invoked" "name"="iacvmss" "namespace"="vmss" "annotations"={"serviceoperator.azure.com/operator-namespace":"azureserviceoperator-system","serviceoperator.azure.com/resource-id":"/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss"} "conditions"="[Condition [Ready], Status = \"False\", ObservedGeneration = 4, Severity = \"Warning\", Reason = \"PlatformImageNotFound\", Message = \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\\n--------------------------------------------------------------------------------\\nRESPONSE 404: 404 Not Found\\nERROR CODE: PlatformImageNotFound\\n--------------------------------------------------------------------------------\\n{\\n  \\\"error\\\": {\\n    \\\"code\\\": \\\"PlatformImageNotFound\\\",\\n    \\\"message\\\": \\\"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\\\",\\n    \\\"target\\\": \\\"imageReference\\\"\\n  }\\n}\\n--------------------------------------------------------------------------------\\n\", LastTransitionTime = \"2022-10-19 23:06:32 +0000 UTC\"]" "creationTimestamp"="2022-10-19T22:39:53Z" "finalizers"=["serviceoperator.azure.com/finalizer"] "generation"=4 "kind"={"kind":"VirtualMachineScaleSet","apiVersion":"compute.azure.com/v1beta20220301storage"} "owner"={"group":"resources.azure.com","kind":"ResourceGroup","name":"aso-vmss-rg"} "ownerReferences"=[{"apiVersion":"resources.azure.com/v1beta20200601","kind":"ResourceGroup","name":"aso-vmss-rg","uid":"50697468-3025-448a-8064-c8e7950eff07"}] "resourceVersion"="29844" "uid"="cfdf478a-8612-427f-a85f-3c1ce090a8f3"
I1019 23:15:43.434185       1 azure_generic_arm_reconciler_instance.go:67] controllers/VirtualMachineScaleSetController "msg"="Determined CreateOrUpdate action" "azureName"="iacvmss" "name"="iacvmss" "namespace"="vmss" "action"="BeginCreateOrUpdate"
I1019 23:15:43.434518       1 azure_generic_arm_reconciler_instance.go:258] controllers/VirtualMachineScaleSetController "msg"="About to send resource to Azure" "azureName"="iacvmss" "name"="iacvmss" "namespace"="vmss" 
I1019 23:15:44.743644       1 azure_generic_arm_reconciler_instance.go:286] controllers/VirtualMachineScaleSetController "msg"="Resource creation failure" "azureName"="iacvmss" "name"="iacvmss" "namespace"="vmss" "error"="PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\n--------------------------------------------------------------------------------\nRESPONSE 404: 404 Not Found\nERROR CODE: PlatformImageNotFound\n--------------------------------------------------------------------------------\n{\n  \"error\": {\n    \"code\": \"PlatformImageNotFound\",\n    \"message\": \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\",\n    \"target\": \"imageReference\"\n  }\n}\n--------------------------------------------------------------------------------\n" "resourceID"="/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss"
E1019 23:15:44.743907       1 azure_generic_arm_reconciler_instance.go:71] controllers/VirtualMachineScaleSetController "msg"="Error during CreateOrUpdate" "error"="The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\n--------------------------------------------------------------------------------\nRESPONSE 404: 404 Not Found\nERROR CODE: PlatformImageNotFound\n--------------------------------------------------------------------------------\n{\n  \"error\": {\n    \"code\": \"PlatformImageNotFound\",\n    \"message\": \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\",\n    \"target\": \"imageReference\"\n  }\n}\n--------------------------------------------------------------------------------\n" "azureName"="iacvmss" "name"="iacvmss" "namespace"="vmss" "action"="BeginCreateOrUpdate"
E1019 23:15:44.744079       1 generic_controller.go:500] controllers/VirtualMachineScaleSetController "msg"="Encountered error impacting Ready condition" "error"="The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\n--------------------------------------------------------------------------------\nRESPONSE 404: 404 Not Found\nERROR CODE: PlatformImageNotFound\n--------------------------------------------------------------------------------\n{\n  \"error\": {\n    \"code\": \"PlatformImageNotFound\",\n    \"message\": \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\",\n    \"target\": \"imageReference\"\n  }\n}\n--------------------------------------------------------------------------------\n" "name"="iacvmss" "namespace"="vmss" 
I1019 23:15:44.744432       1 recorder.go:103] events "msg"="Warning"  "message"="The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\n--------------------------------------------------------------------------------\nRESPONSE 404: 404 Not Found\nERROR CODE: PlatformImageNotFound\n--------------------------------------------------------------------------------\n{\n  \"error\": {\n    \"code\": \"PlatformImageNotFound\",\n    \"message\": \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\",\n    \"target\": \"imageReference\"\n  }\n}\n--------------------------------------------------------------------------------\n" "object"={"kind":"VirtualMachineScaleSet","namespace":"vmss","name":"iacvmss","uid":"cfdf478a-8612-427f-a85f-3c1ce090a8f3","apiVersion":"compute.azure.com/v1beta20220301storage","resourceVersion":"29844"} "reason"="CreateOrUpdateActionError"
E1019 23:15:44.845844       1 generic_controller.go:231] controllers/VirtualMachineScaleSetController "msg"="error during reconcile" "error"="The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\n--------------------------------------------------------------------------------\nRESPONSE 404: 404 Not Found\nERROR CODE: PlatformImageNotFound\n--------------------------------------------------------------------------------\n{\n  \"error\": {\n    \"code\": \"PlatformImageNotFound\",\n    \"message\": \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\",\n    \"target\": \"imageReference\"\n  }\n}\n--------------------------------------------------------------------------------\n" "name"="iacvmss" "namespace"="vmss" 
E1019 23:15:44.845914       1 controller.go:317] controllers/controller/virtualmachinescaleset "msg"="Reconciler error" "error"="The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\n--------------------------------------------------------------------------------\nRESPONSE 404: 404 Not Found\nERROR CODE: PlatformImageNotFound\n--------------------------------------------------------------------------------\n{\n  \"error\": {\n    \"code\": \"PlatformImageNotFound\",\n    \"message\": \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\",\n    \"target\": \"imageReference\"\n  }\n}\n--------------------------------------------------------------------------------\n" "name"="iacvmss" "namespace"="vmss" "reconciler group"="compute.azure.com" "reconciler kind"="VirtualMachineScaleSet" 
I1019 23:16:44.847030       1 common.go:55] controllers/VirtualMachineScaleSetController "msg"="Reconcile invoked" "name"="iacvmss" "namespace"="vmss" "annotations"={"serviceoperator.azure.com/operator-namespace":"azureserviceoperator-system","serviceoperator.azure.com/resource-id":"/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss"} "conditions"="[Condition [Ready], Status = \"False\", ObservedGeneration = 4, Severity = \"Warning\", Reason = \"PlatformImageNotFound\", Message = \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\\n--------------------------------------------------------------------------------\\nRESPONSE 404: 404 Not Found\\nERROR CODE: PlatformImageNotFound\\n--------------------------------------------------------------------------------\\n{\\n  \\\"error\\\": {\\n    \\\"code\\\": \\\"PlatformImageNotFound\\\",\\n    \\\"message\\\": \\\"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\\\",\\n    \\\"target\\\": \\\"imageReference\\\"\\n  }\\n}\\n--------------------------------------------------------------------------------\\n\", LastTransitionTime = \"2022-10-19 23:06:32 +0000 UTC\"]" "creationTimestamp"="2022-10-19T22:39:53Z" "finalizers"=["serviceoperator.azure.com/finalizer"] "generation"=4 "kind"={"kind":"VirtualMachineScaleSet","apiVersion":"compute.azure.com/v1beta20220301storage"} "owner"={"group":"resources.azure.com","kind":"ResourceGroup","name":"aso-vmss-rg"} "ownerReferences"=[{"apiVersion":"resources.azure.com/v1beta20200601","kind":"ResourceGroup","name":"aso-vmss-rg","uid":"50697468-3025-448a-8064-c8e7950eff07"}] "resourceVersion"="29844" "uid"="cfdf478a-8612-427f-a85f-3c1ce090a8f3"
I1019 23:16:44.847085       1 azure_generic_arm_reconciler_instance.go:67] controllers/VirtualMachineScaleSetController "msg"="Determined CreateOrUpdate action" "azureName"="iacvmss" "name"="iacvmss" "namespace"="vmss" "action"="BeginCreateOrUpdate"
I1019 23:16:44.847338       1 azure_generic_arm_reconciler_instance.go:258] controllers/VirtualMachineScaleSetController "msg"="About to send resource to Azure" "azureName"="iacvmss" "name"="iacvmss" "namespace"="vmss" 
I1019 23:16:45.634695       1 azure_generic_arm_reconciler_instance.go:286] controllers/VirtualMachineScaleSetController "msg"="Resource creation failure" "azureName"="iacvmss" "name"="iacvmss" "namespace"="vmss" "error"="PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\n--------------------------------------------------------------------------------\nRESPONSE 404: 404 Not Found\nERROR CODE: PlatformImageNotFound\n--------------------------------------------------------------------------------\n{\n  \"error\": {\n    \"code\": \"PlatformImageNotFound\",\n    \"message\": \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\",\n    \"target\": \"imageReference\"\n  }\n}\n--------------------------------------------------------------------------------\n" "resourceID"="/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss"
E1019 23:16:45.634769       1 azure_generic_arm_reconciler_instance.go:71] controllers/VirtualMachineScaleSetController "msg"="Error during CreateOrUpdate" "error"="The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\n--------------------------------------------------------------------------------\nRESPONSE 404: 404 Not Found\nERROR CODE: PlatformImageNotFound\n--------------------------------------------------------------------------------\n{\n  \"error\": {\n    \"code\": \"PlatformImageNotFound\",\n    \"message\": \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\",\n    \"target\": \"imageReference\"\n  }\n}\n--------------------------------------------------------------------------------\n" "azureName"="iacvmss" "name"="iacvmss" "namespace"="vmss" "action"="BeginCreateOrUpdate"
E1019 23:16:45.634818       1 generic_controller.go:500] controllers/VirtualMachineScaleSetController "msg"="Encountered error impacting Ready condition" "error"="The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\n--------------------------------------------------------------------------------\nRESPONSE 404: 404 Not Found\nERROR CODE: PlatformImageNotFound\n--------------------------------------------------------------------------------\n{\n  \"error\": {\n    \"code\": \"PlatformImageNotFound\",\n    \"message\": \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\",\n    \"target\": \"imageReference\"\n  }\n}\n--------------------------------------------------------------------------------\n" "name"="iacvmss" "namespace"="vmss" 
I1019 23:16:45.635151       1 recorder.go:103] events "msg"="Warning"  "message"="The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\n--------------------------------------------------------------------------------\nRESPONSE 404: 404 Not Found\nERROR CODE: PlatformImageNotFound\n--------------------------------------------------------------------------------\n{\n  \"error\": {\n    \"code\": \"PlatformImageNotFound\",\n    \"message\": \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\",\n    \"target\": \"imageReference\"\n  }\n}\n--------------------------------------------------------------------------------\n" "object"={"kind":"VirtualMachineScaleSet","namespace":"vmss","name":"iacvmss","uid":"cfdf478a-8612-427f-a85f-3c1ce090a8f3","apiVersion":"compute.azure.com/v1beta20220301storage","resourceVersion":"29844"} "reason"="CreateOrUpdateActionError"
E1019 23:16:45.739094       1 generic_controller.go:231] controllers/VirtualMachineScaleSetController "msg"="error during reconcile" "error"="The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\n--------------------------------------------------------------------------------\nRESPONSE 404: 404 Not Found\nERROR CODE: PlatformImageNotFound\n--------------------------------------------------------------------------------\n{\n  \"error\": {\n    \"code\": \"PlatformImageNotFound\",\n    \"message\": \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\",\n    \"target\": \"imageReference\"\n  }\n}\n--------------------------------------------------------------------------------\n" "name"="iacvmss" "namespace"="vmss" 
E1019 23:16:45.739158       1 controller.go:317] controllers/controller/virtualmachinescaleset "msg"="Reconciler error" "error"="The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\n--------------------------------------------------------------------------------\nRESPONSE 404: 404 Not Found\nERROR CODE: PlatformImageNotFound\n--------------------------------------------------------------------------------\n{\n  \"error\": {\n    \"code\": \"PlatformImageNotFound\",\n    \"message\": \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\",\n    \"target\": \"imageReference\"\n  }\n}\n--------------------------------------------------------------------------------\n" "name"="iacvmss" "namespace"="vmss" "reconciler group"="compute.azure.com" "reconciler kind"="VirtualMachineScaleSet" 
2022/10/19 23:16:55 http: TLS handshake error from 10.244.0.5:46140: EOF
2022/10/19 23:16:55 http: TLS handshake error from 10.244.0.5:46152: EOF
2022/10/19 23:16:55 http: TLS handshake error from 10.244.0.5:46180: EOF
